immatriculation;numero_de_serie;marque;modele;date_debut;date_fin
2-EAC-737;011868698555;HONDA;S2000;2024-06-06;2026-01-27
1-UHQ-608;086573070147;AUDI;S3 IV;2025-01-22;2026-09-14
1-BBI-371;073933700853;FIAT;BRAVO II;2023-05-14;2025-01-03
1-WNH-525;045350793179;VOLVO;265;2023-05-30;2025-01-19
2-PUG-870;076723651291;CHEVROLET;TRAX;2022-12-28;2024-08-19
2-BRZ-487;012837139530;LANCIA;FLAVIA;2025-03-20;2026-11-10
2-XEX-263;073172629495;PEUGEOT;308;2023-04-08;2024-11-28
1-ILQ-140;007237078532;BMW;750;2024-01-09;2025-08-31
1-NDM-751;079699505664;OPEL;ASTRA VI;2025-08-08;2027-03-31
2-OLM-669;014611456832;SSANGYONG;KYRON;2024-11-18;2026-07-11
1-BBZ-068;039908138850;MAZDA;MX6;2024-09-28;2026-05-21
2-YZK-325;057899047566;SKODA;FABIA IV;2025-01-20;2026-09-12
2-NDC-038;018252677687;MERCEDES;CLASSE GLC II;2025-09-03;2027-04-26
2-WNN-591;007643389892;DATSUN;CHERRY;2022-12-05;2024-07-27
1-UUG-781;007735672022;BMW;650;2022-09-15;2024-05-07
1-ONN-522;087346130022;NISSAN;ALMERA TINO;2023-05-21;2025-01-10
2-ZUM-183;063715915173;MASERATI;COUPE;2024-08-02;2026-03-25
1-RVA-563;055269514611;MERCEDES;508;2023-07-17;2025-03-08
1-UTY-245;022278923601;PEUGEOT;403;2024-06-24;2026-02-14
1-MUY-566;091644018258;VOLKSWAGEN;GOLF SPORTSVAN;2023-01-26;2024-09-17
2-BSD-140;085161824204;INNOCENTI;MINI;2023-05-20;2025-01-09
2-UDG-712;007911313808;PEUGEOT;604;2022-09-28;2024-05-20
2-LZG-490;045259191278;VOLVO;V90;2022-08-21;2024-04-12
2-BVX-795;070849042645;DATSUN;PATROL;2023-02-21;2024-10-13
2-SWE-782;053573114911;DATSUN;VIOLET;2025-08-11;2027-04-03
2-QVS-234;087796102641;LEXUS;RC;2023-08-16;2025-04-07
2-XYH-155;021783069279;TALBOT;1500;2023-08-05;2025-03-27
1-XQT-603;006966648496;CITROEN;C3 III;2024-02-11;2025-10-03
2-JXD-952;038518625039;ALFA ROMEO;SPRINT;2025-04-19;2026-12-10
1-PDX-651;006363306203;FIAT;FREEMONT;2024-01-17;2025-09-08
2-VTJ-731;095800411474;MITSUBISHI;LANCER;2023-01-24;2024-09-15
2-PIY-105;088659545284;RENAULT;CAPTUR II;2022-11-15;2024-07-07
2-EQN-675;056370584087;SAAB;9-3 BERLINE DE SPORT;2023-06-10;2025-01-30
2-OOD-479;022371798161;OPEL;CORSA VI;2023-12-25;2025-08-16
1-KDE-322;013940158310;AUDI;Q3;2023-03-13;2024-11-02
1-CEG-450;092461984673;CHEVROLET;ORLANDO;2024-08-28;2026-04-20
2-KLA-765;092731785391;VOLVO;XC40;2023-01-05;2024-08-27
1-RUB-825;026350634433;BMW;1802;2025-05-06;2026-12-27
2-JAR-535;086247902648;FIAT;BRAVA;2025-08-30;2027-04-22
2-WTC-962;088192291816;RENAULT;ESPACE;2023-03-09;2024-10-29
2-VXY-785;034355058248;MERCEDES;CLASSE GLS;2025-09-15;2027-05-08
1-NUI-277;058490594204;TOYOTA;PICNIC;2024-11-17;2026-07-10
2-XXF-087;070412040566;SUBARU;XV II;2024-02-29;2025-10-21
2-IUN-453;039085187395;OPEL;CALIBRA;2024-03-07;2025-10-28
2-FYD-164;096739057605;DAIMLER;DAIMLER;2024-11-11;2026-07-04
1-XAP-037;032637847853;PEUGEOT;PARTNER II;2025-04-02;2026-11-23
1-DWL-040;007235569633;BMW;2500;2023-07-06;2025-02-25
2-RUQ-434;065930745015;AUDI;A1;2024-03-22;2025-11-12
2-CUA-426;012455769952;DACIA;DUSTER;2023-07-17;2025-03-08
2-AHU-538;004589425861;ALFA ROMEO;1300;2024-04-27;2025-12-18
2-CUA-948;072674837165;DACIA;SANDERO III;2022-09-30;2024-05-22
2-OKU-288;071833857856;MERCEDES;CLASSE C IV;2025-09-01;2027-04-24
1-GFO-311;000087921413;VOLVO;S60;2025-08-29;2027-04-21
2-SQL-924;061181243490;VOLKSWAGEN;AMAROK II;2024-02-22;2025-10-14
1-OBD-799;008299462200;VOLVO;S80;2025-02-02;2026-09-25
2-OQH-418;003860250199;DACIA;DUSTER;2024-10-31;2026-06-23
1-WSD-669;051234039645;CHRYSLER;NEON;2022-09-15;2024-05-07
2-PZY-946;065933566238;ALFA ROMEO;SPRINT;2022-08-27;2024-04-18
1-NGH-448;067285599838;SAAB;9-3 X;2023-03-17;2024-11-06
2-SNR-965;017444901935;MAZDA;MX-30;2022-10-14;2024-06-05
1-JFT-610;056154625551;OPEL;AMPERA;2022-11-24;2024-07-16
1-DXY-466;056210091096;VOLKSWAGEN;ID.7;2024-05-15;2026-01-05
1-HWM-879;099422982235;VOLKSWAGEN;411;2023-06-18;2025-02-07
2-VXI-787;002803291779;DACIA;LOGAN;2024-09-06;2026-04-29
1-VFT-712;040080005243;DAIHATSU;COPEN;2023-04-16;2024-12-06
1-MTF-209;037403205570;INFINITI;QX30;2024-12-11;2026-08-03
2-LEM-833;005134325806;VOLKSWAGEN;GOLF PLUS;2023-12-31;2025-08-22
2-DGA-969;070521201957;LAND ROVER;90;2025-10-23;2027-06-15
1-UPA-630;076711894605;CITROEN;C-ELYSEE;2025-03-28;2026-11-18
2-HMN-928;055115600781;DODGE;NITRO;2025-04-13;2026-12-04
1-JQP-340;073308034979;RENAULT;TWINGO III;2024-02-18;2025-10-10
2-HJT-986;073451333067;PEUGEOT;2008;2023-03-04;2024-10-24
1-WAK-729;083884950739;RENAULT;R6;2023-01-04;2024-08-26
2-FRR-932;053823209544;SUZUKI;SX4;2024-07-20;2026-03-12
2-XCV-520;094185163005;AUSTIN;JEEP;2023-04-10;2024-11-30
1-FUE-329;067964876258;OPEL;COMMODORE;2025-06-12;2027-02-02
1-WXY-470;001229603448;RENAULT;ONDINE;2023-12-07;2025-07-29
1-IQT-863;098562620425;SUBARU;OUTBACK;2023-02-15;2024-10-07
2-AWD-650;073093608785;DATSUN;180;2025-10-24;2027-06-16
1-TYJ-209;095999436391;FISKER;OCEAN;2024-11-16;2026-07-09
1-NNB-783;037257676964;BMW;320;2024-12-26;2026-08-18
1-JMD-628;029050858170;JAGUAR;I-PACE;2023-01-31;2024-09-22
1-TNC-298;072491055579;BMW;1800;2023-12-26;2025-08-17
2-QLS-580;045759912204;SAAB;900;2025-05-06;2026-12-27
2-TIR-074;063854389529;FIAT;BRAVA;2024-06-29;2026-02-19
2-GCT-353;096478959983;FORD;TAUNUS;2023-08-16;2025-04-07
1-AWY-881;035331112502;NISSAN;PIXO;2025-08-31;2027-04-23
1-ABQ-296;008824116871;KIA;SHUMA;2023-11-11;2025-07-03
2-ZJM-594;099228880188;FORD;ECOSPORT;2025-07-05;2027-02-25
2-YSC-131;037355530599;TALBOT;1510;2023-04-08;2024-11-28
1-EUY-921;000028553124;KIA;CARNIVAL;2025-06-18;2027-02-08
2-YRE-873;036702475103;PEUGEOT;TRAVELLER;2025-08-28;2027-04-20
1-XXC-909;080225161932;HYUNDAI;GALLOPER;2022-08-29;2024-04-20
2-YWZ-259;085903910324;MERCEDES;CLASSE GLS II;2024-07-21;2026-03-13
2-LWC-154;061968991996;PEUGEOT;PARTNER III;2023-04-04;2024-11-24
1-JHV-004;027370555736;FIAT;MULTIPLA;2024-06-17;2026-02-07
1-OJG-371;069571176508;CHRYSLER;SEBRING;2024-12-20;2026-08-12
1-JFR-260;003234756737;SUBARU;E12;2023-01-31;2024-09-22
1-KEO-397;000958523823;INFINITI;Q30;2025-04-24;2026-12-15
2-UPY-651;006794261550;VOLVO;242;2023-01-28;2024-09-19
2-QQS-084;035822265067;CITROEN;JUMPY;2023-07-18;2025-03-09
1-FJQ-036;094430425187;MAZDA;XEDOS 6;2023-08-29;2025-04-20
2-PWE-117;008036509811;MITSUBISHI;ESTATE;2024-01-17;2025-09-08
1-ZOG-454;072771631411;FORD;MONDEO;2023-12-24;2025-08-15
1-ZDS-024;095292222197;LOTUS;ESPRIT;2025-01-08;2026-08-31
2-QHS-540;006298109979;BMW;X4 II;2025-09-11;2027-05-04
1-CMU-166;050842505679;HYUNDAI;IX20;2024-10-15;2026-06-07
1-NCY-078;084322967231;RENAULT;AUSTRAL;2025-04-21;2026-12-12
1-OFN-090;078557408251;OPEL;GRANDLAND;2025-05-02;2026-12-23
1-OEY-827;018083912290;LANCIA;FULVIA;2025-01-26;2026-09-18
1-HMJ-670;062166819736;MAZDA;CX-30;2023-07-02;2025-02-21
2-LMC-908;042738688424;VOLKSWAGEN;LT40A;2024-05-14;2026-01-04
1-VTO-724;086277331617;MERCEDES;CLASSE GLE;2024-07-01;2026-02-21
1-VVY-902;065198558647;TALBOT;1300;2024-08-26;2026-04-18
1-CRE-072;048907784596;INNOCENTI;650;2024-10-22;2026-06-14
2-VZF-358;008844701539;MASERATI;GHIBLI;2024-04-10;2025-12-01
2-WEH-383;009972141501;VOLKSWAGEN;GOLF;2024-11-23;2026-07-16
1-NTH-537;083687297309;NISSAN;ARIYA;2025-01-18;2026-09-10
2-KWO-143;036819249131;SSANGYONG;KYRON;2023-04-17;2024-12-07
2-MCZ-472;051949828041;MERCEDES;260;2024-07-12;2026-03-04
1-WTY-118;026322329847;MERCEDES;CLASSE GLC II;2023-06-26;2025-02-15
1-JJP-934;056619323763;RENAULT;CARAVELLE;2023-04-20;2024-12-10
1-FWF-089;017267755655;VOLKSWAGEN;PASSAT IX;2022-11-17;2024-07-09
2-ESU-371;089543667150;MAZDA;MX5;2024-03-21;2025-11-11
2-ORH-367;050082665528;MITSUBISHI;GALANT;2024-04-01;2025-11-22
1-SZR-449;043057660058;AUDI;RO 80;2025-09-01;2027-04-24
1-SLI-308;037722627602;CADILLAC;CTS;2025-10-01;2027-05-24
2-YMN-532;023674956324;CITROEN;DYANE;2025-01-16;2026-09-08
1-IQU-015;065493287608;CITROEN;C3 PLURIEL;2023-11-19;2025-07-11
1-NWC-008;077892209614;ROVER;213;2022-11-06;2024-06-28
2-TCQ-969;033698405098;DATSUN;VIOLET;2023-03-06;2024-10-26
2-FDZ-854;052594984615;MAZDA;BONGO;2025-02-12;2026-10-05
2-ZDG-176;027635300296;SUZUKI;BALENO;2025-06-30;2027-02-20
2-NEN-884;076340435971;DAF;VH400;2024-10-06;2026-05-29
1-FPV-513;054862576001;MAZDA;MPV;2024-11-17;2026-07-10
1-PTI-256;057656999017;VOLVO;XC90;2024-06-03;2026-01-24
2-QDT-344;027652601017;VOLVO;S80;2025-10-13;2027-06-05
2-VXJ-714;076096235443;INNOCENTI;650;2023-09-01;2025-04-23
2-CTP-761;080277707978;BMW;1502;2022-11-11;2024-07-03
2-PSA-619;073926325231;SKODA;FELICIA;2025-03-08;2026-10-29
2-VFE-274;001979684543;JAGUAR;E-PACE;2024-04-05;2025-11-26
1-ZMD-652;099784844289;OPEL;GT;2024-08-23;2026-04-15
2-ZRV-287;089754540597;FIAT;REGATA;2022-11-29;2024-07-21
2-NVD-431;086174423276;MINI;COUNTRYMAN;2024-04-09;2025-11-30
1-HLW-492;094505717499;NISSAN;TERRANO II;2024-10-21;2026-06-13
1-UNQ-086;039202774248;VOLKSWAGEN;JETTA II;2025-08-24;2027-04-16
1-OFN-866;017266641537;INFINITI;Q30;2025-02-19;2026-10-12
1-TPA-362;021710539598;KIA;VENGA;2024-07-01;2026-02-21
2-YLA-605;014652396812;OPEL;INSIGNIA;2024-03-04;2025-10-25
2-FPV-298;016231322254;RENAULT;AUSTRAL;2023-07-17;2025-03-08
2-KEF-401;011464223078;VOLKSWAGEN;POLO V;2024-12-06;2026-07-29
2-TTY-262;058313981496;OPEL;MANTA;2024-04-05;2025-11-26
2-FVU-961;092959813276;MG;MG5;2024-10-31;2026-06-23
1-WAB-307;000708024306;BMW;850;2025-05-06;2026-12-27
2-GPT-604;049437457699;CITROEN;C4 III;2024-10-26;2026-06-18
2-HRG-761;034992931663;MAZDA;MX6;2024-06-18;2026-02-08
1-FXI-498;013277428465;VOLKSWAGEN;GOLF PLUS;2024-08-24;2026-04-16
2-MCL-918;066481556160;HYUNDAI;ELANTRA;2025-03-14;2026-11-04
2-UBB-887;067960478960;KIA;EV9;2025-08-05;2027-03-28
2-NHA-099;051413683033;FORD;TRANSIT CONNECT;2022-12-30;2024-08-21
1-YPY-851;027455897822;JEEP;PATRIOT;2025-07-29;2027-03-21
1-GYN-855;084080860715;FIAT;PALIO;2022-08-27;2024-04-18
2-IPE-916;077238002872;DACIA;SANDERO III;2025-05-31;2027-01-21
1-FRB-535;039826886766;BMW;528;2023-05-28;2025-01-17
2-FOK-800;081573711419;ALFA ROMEO;ALFA 33;2024-04-29;2025-12-20
2-LOP-354;002438235615;HONDA;PRELUDE;2023-02-10;2024-10-02
2-UIC-776;086709952199;HYUNDAI;BAYON;2023-05-01;2024-12-21
2-EEE-735;089770169106;SEAT;TERRA;2024-04-07;2025-11-28
2-LUE-655;091549765900;FORD;TAUNUS;2025-09-29;2027-05-22
1-SEY-576;026751212455;PROTON;413;2025-05-05;2026-12-26
1-KON-460;056955923466;HYUNDAI;GENESIS;2023-04-02;2024-11-22
1-BMR-927;079808199116;TOYOTA;CARINA E;2025-06-29;2027-02-19
2-UTC-066;065044248563;SKODA;FAVORIT;2025-01-29;2026-09-21
1-GGU-147;020209750457;HONDA;LEGEND;2022-08-31;2024-04-22
2-NSX-503;074366705631;BMW;633;2024-02-06;2025-09-28
2-AET-165;057792710216;DAIHATSU;COPEN;2022-11-25;2024-07-17
2-CJE-500;037185540701;LAND ROVER;DEFENDER;2023-08-06;2025-03-28
1-JRO-807;094807206988;RENAULT;SAVIEM;2025-05-29;2027-01-19
2-XMT-711;075825688641;ALFA ROMEO;ALFA 159 SW;2024-12-24;2026-08-16
1-SVG-352;019642800637;HONDA;QUINTET;2023-01-31;2024-09-22
1-FLQ-625;099488912677;CITROEN;C5 X;2024-06-21;2026-02-11
2-EEO-397;042362560051;CHEVROLET;VOLT;2024-04-13;2025-12-04
2-QEF-356;073034027077;AUDI;Q2;2022-08-11;2024-04-02
2-VIE-311;030349374709;PEUGEOT;407;2023-11-28;2025-07-20
2-KTW-753;010121473784;BENTLEY;CONTINENTAL GT;2025-01-02;2026-08-25
1-UTN-888;064466499522;FIAT;ULYSSE III;2023-09-20;2025-05-12
1-FOW-506;055250822120;VOLVO;S90;2025-04-01;2026-11-22
1-RJS-581;050027031026;SUZUKI;WAGON R+;2025-05-02;2026-12-23
2-FFZ-748;062165513770;NISSAN;PIXO;2024-06-01;2026-01-22
2-DEA-705;065317964516;OPEL;REKORD;2022-08-10;2024-04-01
2-UVZ-022;025343146366;AUDI;50;2025-01-03;2026-08-26
1-IWD-265;043056985274;VOLKSWAGEN;SANTANA;2024-12-21;2026-08-13
2-NPV-212;099464269433;CHEVROLET;MALIBU;2024-01-30;2025-09-21
2-EVH-277;069980737525;MAZDA;DEMIO;2023-06-18;2025-02-07
1-NDJ-396;070386036130;MITSUBISHI;LANCER;2025-09-09;2027-05-02
2-SIN-253;074269140769;CITROEN;DYANE;2024-11-08;2026-07-01
1-YWV-608;025081352153;DATSUN;CHERRY;2023-02-06;2024-09-28
1-KKW-385;001251528979;AUDI;V8;2023-05-29;2025-01-18
1-MER-393;042308363929;DAEWOO;KALOS;2025-02-15;2026-10-08
2-WZO-490;097189650622;MG;ZS II;2022-10-17;2024-06-08
1-ANT-462;057051011159;AUDI;S4;2025-04-17;2026-12-08
2-QWU-860;041420513847;DATSUN;KING-CAB;2022-11-10;2024-07-02
1-JRC-570;039153846132;KIA;EV9;2022-09-05;2024-04-27
1-SLL-752;059752450278;BMW;X4;2024-08-08;2026-03-31
2-CZS-465;021124113646;FORD;MUSTANG MACH-E;2023-02-23;2024-10-15
1-PSN-579;084114412682;CUPRA;FORMENTOR;2024-09-25;2026-05-18
1-LDX-147;052716423611;TOYOTA;CORONA;2024-06-14;2026-02-04
1-QRN-976;075059151797;MERCEDES;507;2023-09-07;2025-04-29
2-KZU-680;049075944006;MAZDA;BT50;2025-07-12;2027-03-04
1-NZH-344;069932636024;SUZUKI;ACROSS;2024-10-23;2026-06-15
2-ZGL-480;027493482837;MERCEDES;408;2025-03-02;2026-10-23
2-LAZ-369;060252219685;SERES DFSK;SERES 3;2023-10-20;2025-06-11
1-DQW-607;060067468884;ROVER;3500;2023-04-16;2024-12-06
2-ETJ-201;065190005152;ISUZU;D-MAX;2024-02-27;2025-10-19
1-IFW-629;067323421796;VOLKSWAGEN;BORA;2022-10-28;2024-06-19
2-AZU-585;073626673800;ALFA ROMEO;ALFA 33;2025-01-26;2026-09-18
1-IMR-060;015635634078;SUBARU;OUTBACK VI;2023-01-11;2024-09-02
1-LKA-028;013007888401;DAIHATSU;TERIOS;2023-05-10;2024-12-30
2-UOW-685;021511625599;FORD;GRANADA;2024-03-15;2025-11-05
2-PAR-507;003247751359;OPEL;TIGRA;2024-01-19;2025-09-10
1-XRB-703;043737278750;CITROEN;BERLINGO III;2023-11-05;2025-06-27
1-LNX-278;072767398044;MERCEDES;CLASSE CLC;2024-11-30;2026-07-23
1-QFC-355;071320778191;MERCEDES;310;2024-12-10;2026-08-02
1-EVO-233;018987842737;FORD;TOURNEO COURIER;2024-11-21;2026-07-14
1-XYR-577;008961930721;TOYOTA;DYNA;2023-11-05;2025-06-27
1-GGT-861;080020192150;DACIA;JOGGER;2023-04-12;2024-12-02
1-DRH-708;014001236804;BMW;3,0;2025-09-23;2027-05-16
2-VIV-258;090136405303;ALFA ROMEO;BRERA;2023-04-24;2024-12-14
1-DEG-128;071749490125;BMW;1800;2023-03-28;2024-11-17
1-VMO-630;090968914306;CITROEN;BERLINGO III;2023-05-05;2024-12-25
1-AQG-927;037953007027;FORD;MUSTANG;2025-05-26;2027-01-16
2-BVF-376;069713433654;JEEP;COMMANDER;2025-01-15;2026-09-07
2-GIR-601;091974693433;MERCEDES;CLASSE EQB;2022-11-01;2024-06-23
2-ZEI-831;071408910659;SKODA;CITIGO;2025-03-06;2026-10-27
2-FZG-797;006477308652;OPEL;ASTRA;2023-09-19;2025-05-11
1-WJX-314;015982093372;PORSCHE;718 CAYMAN;2022-09-15;2024-05-07
2-CGO-480;050684767449;KIA;SORENTO IV;2023-04-19;2024-12-09
1-JPP-638;059649963868;BMW;Z4;2024-12-25;2026-08-17
1-MUS-408;000875196858;FIAT;ULYSSE III;2022-09-01;2024-04-23
1-MYI-942;053339346977;LEXUS;LC;2023-07-30;2025-03-21
2-MHK-291;023964475777;RENAULT;R30;2025-06-03;2027-01-24
1-SMT-647;007673456541;OPEL;SINTRA;2025-10-03;2027-05-26
1-PUP-341;009132184901;MERCEDES;CLASSE EQT;2023-06-19;2025-02-08
2-XEG-989;042083257260;ALFA ROMEO;GIULIETTA;2023-12-03;2025-07-25
1-XXW-383;082815181345;OPEL;INSIGNIA;2024-05-04;2025-12-25
1-RGT-447;085639783996;BMW;SERIE 5 VIII;2023-10-29;2025-06-20
1-QBJ-257;024484920934;CITROEN;C25 COMBI;2024-03-31;2025-11-21
1-BBP-790;072841386059;DATSUN;120;2023-04-06;2024-11-26
1-QJE-811;093883789269;ALPINE RENAULT;A110;2022-11-26;2024-07-18
2-TFP-662;002161845106;GRANDIN;DALLAS;2022-11-17;2024-07-09
1-DDK-914;045569722393;LADA;KALINKA;2025-09-02;2027-04-25
2-JXV-348;081570631753;TOYOTA;STARLET;2024-11-04;2026-06-27
1-VZX-642;014655201921;SUZUKI;SWIFT;2025-08-26;2027-04-18
1-QFF-852;041676962262;PEUGEOT;404;2025-05-03;2026-12-24
1-IOT-436;029319403812;OPEL;COMBO III;2022-12-29;2024-08-20
2-SJL-022;064012003531;SEAT;EXEO;2023-05-04;2024-12-24
2-QGE-837;012586795977;BMW;2500;2022-09-16;2024-05-08
2-UAS-992;068558106590;NISSAN;JUKE II;2024-01-03;2025-08-25
1-GFZ-103;066480332176;JEEP;GRAND CHEROKEE;2025-03-18;2026-11-08
1-EJK-652;098227592330;BMW;X4;2023-08-26;2025-04-17
1-GUN-787;012280532960;LEXUS;IS;2023-01-06;2024-08-28
2-DJR-577;085110665393;GME;RASCAL;2024-05-30;2026-01-20
2-ROT-235;062204077632;VOLVO;C30;2023-09-04;2025-04-26
2-GOE-649;021397407731;RENAULT;KANGOO III;2023-02-19;2024-10-11
1-QET-245;069386470490;JEEP;COMPASS;2025-06-23;2027-02-13
1-VYK-687;001571866664;RENAULT;ESPACE V;2024-08-17;2026-04-09
2-QXP-329;008936376666;CITROEN;LNA;2025-01-07;2026-08-30
1-AKL-016;048502784943;DATSUN;BLUEBIRD;2025-07-11;2027-03-03
2-OVM-992;092778160715;RENAULT;KANGOO II;2025-06-11;2027-02-01
2-TGT-837;084621454394;VOLKSWAGEN;TOURAN;2025-06-26;2027-02-16
2-RPO-617;016648060474;CITROEN;C4 PICASSO II;2024-03-13;2025-11-03
2-IDI-819;035321289440;FIAT;126;2025-04-08;2026-11-29
1-TFX-749;066180723950;MAZDA;MAZDA6;2022-09-17;2024-05-09
1-NTY-531;073629633019;CITROEN;C5 II TOURER;2024-09-13;2026-05-06
2-XRP-129;029708906066;BMW;M535;2023-06-17;2025-02-06
2-NLK-874;072620083019;LANCIA;BETA;2025-04-18;2026-12-09
2-JIJ-928;007772282259;SEAT;ATECA;2023-10-04;2025-05-26
2-HFD-719;080612683937;PEUGEOT;J7;2025-08-04;2027-03-27
2-WUA-083;032146519227;DAF;33;2023-08-27;2025-04-18
2-FQP-509;086026353921;RENAULT;KOLEOS;2024-09-23;2026-05-16
1-JTV-090;085028985533;BENTLEY;BROOKLANDS;2023-02-18;2024-10-10
1-QPW-650;010205033874;CHEVROLET;TRAX;2023-11-15;2025-07-07
2-KBY-735;047045726147;HONDA;CONCERTO;2023-07-20;2025-03-11
2-SPY-251;022654661297;AUDI;A6 V;2023-04-08;2024-11-28
2-WAG-369;068139773638;MERCEDES;450;2022-11-19;2024-07-11
1-VNL-731;006917536681;JAGUAR;XK;2022-10-07;2024-05-29
1-AUI-197;082112073795;MERCEDES;320;2024-09-23;2026-05-16
1-VZE-002;085667117223;OPEL;FRONTERA;2022-09-27;2024-05-19
2-VZW-440;066116257287;EBRO;TRADE;2024-03-31;2025-11-21
1-LJV-341;004300556495;DAEWOO;MUSSO;2022-12-25;2024-08-16
2-ZLM-076;068171775390;TOYOTA;LEXUS;2022-09-22;2024-05-14
1-IXY-325;024819330452;DODGE;NITRO;2023-05-28;2025-01-17
1-LHA-254;009332112170;KIA;CERATO;2025-05-01;2026-12-22
2-OPC-070;007521367597;DATSUN;120;2024-09-22;2026-05-15
2-ZEL-862;006257856002;FIAT;PININFARINA;2023-09-21;2025-05-13
1-TXR-067;010957906825;FORD;ECOSPORT;2023-08-18;2025-04-09
1-NZC-410;013980353317;CHEVROLET;TRAX;2023-03-20;2024-11-09
2-MTY-848;094726266222;EBRO;TRADE;2023-10-01;2025-05-23
1-NXN-534;040144181647;RENAULT;CLIO III;2024-07-23;2026-03-15
2-OLM-450;042475692999;FEST;E-BOX M;2022-10-05;2024-05-27
1-ORN-136;044607432783;AUDI;A5;2023-09-19;2025-05-11
1-RQD-493;046659998344;RENAULT;LAGUNA II;2023-01-27;2024-09-18
2-FJW-375;069851327820;CHEVROLET;SPARK;2024-11-20;2026-07-13
1-HYH-812;072014407042;BMW;528;2023-05-20;2025-01-09
1-XNI-617;014875484305;NISSAN;PRIMASTAR II;2025-10-11;2027-06-03
1-AZG-264;027822985041;TALBOT;1500;2024-03-25;2025-11-15
2-KZY-635;058595769967;MERCEDES;CLASSE S V;2024-07-26;2026-03-18
2-FFB-371;022526725944;VOLKSWAGEN;ID.BUZZ;2024-05-09;2025-12-30
1-TES-764;010960066494;RENAULT;CARAVELLE;2023-11-01;2025-06-23
2-IIZ-852;049937407145;AUDI;RS7;2023-11-01;2025-06-23
2-RIA-458;047091260212;AUSTIN;MORRISITAL;2023-10-03;2025-05-25
2-UJO-518;067472765243;LADA;SAGONA;2023-03-16;2024-11-05
2-KNS-176;003491851833;PEUGEOT;304;2025-05-06;2026-12-27
1-YNU-797;047202475359;RENAULT;R15;2023-03-30;2024-11-19
2-THG-552;090478995565;RENAULT;DAUPHINE;2023-07-31;2025-03-22
1-WME-902;027091622313;AUDI;R8;2025-02-01;2026-09-24
2-NZT-970;003563567797;MARUTI;800;2025-06-01;2027-01-22
2-MOQ-839;013346019139;SUZUKI;S-CROSS II;2025-03-14;2026-11-04
2-LAY-718;028074599862;SKODA;1050;2025-04-20;2026-12-11
2-YLS-516;028100273184;OPEL;VECTRA;2023-03-31;2024-11-20
1-INB-135;084084288343;SUZUKI;GRAND VITARA;2024-08-05;2026-03-28
1-JST-737;021880562091;SUBARU;G3X JUSTY;2023-07-10;2025-03-01
1-STS-082;077045747525;HYUNDAI;GALLOPER;2024-06-01;2026-01-22
1-JXA-736;023055000565;RENAULT;DAUPHINE;2024-07-14;2026-03-06
2-PIX-099;081904034330;CHEVROLET;TRAX;2025-10-21;2027-06-13
2-EJC-442;002839633982;ALFA ROMEO;RZ;2024-02-10;2025-10-02
2-CIJ-823;041114720401;LAND ROVER;90;2025-05-08;2026-12-29
2-KHN-241;042294399804;FORD;SIERRA;2023-05-09;2024-12-29
1-GHO-552;036118788882;PEUGEOT;4008;2023-05-18;2025-01-07
1-ICA-463;030726215923;MERCEDES;250;2025-05-19;2027-01-09
2-QPE-300;056720875930;PEUGEOT;206;2024-12-23;2026-08-15
2-WLS-528;067078565355;CITROEN;C5;2024-05-10;2025-12-31
